host=gl3111.arc-ts.umich.edu  python=/home/lpullela/miniconda3/envs/ssc_559/bin/python  start=Thu Sep  3 14:33:46 EDT 2026  k=5  mode=clean  block_size=search
Loading P1E_S1_C1
  Y: (576, 1236)  people=25  frames/person=[60, 61, 50, 48, 51, 35, 41, 56, 55, 49, 65, 50, 63, 38, 61, 48, 50, 49, 50, 30, 42, 60, 32, 39, 53]  min=30
Loading P1E_S1_C2
  Y: (576, 1031)  people=25  frames/person=[42, 48, 31, 35, 50, 45, 30, 32, 38, 40, 61, 41, 47, 33, 46, 36, 41, 45, 42, 36, 33, 50, 53, 33, 43]  min=30
Loading P1E_S1_C3
  Y: (576, 453)  people=25  frames/person=[15, 22, 16, 16, 17, 13, 14, 19, 14, 25, 26, 12, 21, 18, 22, 19, 13, 19, 16, 15, 8, 15, 30, 20, 28]  min=8
  warning: 24 people have fewer than 30 available frames (kept all)
Loading P1E_S2_C1
  Y: (576, 1256)  people=25  frames/person=[65, 50, 50, 51, 53, 48, 49, 60, 33, 48, 61, 58, 52, 32, 55, 35, 45, 53, 40, 53, 51, 65, 64, 42, 43]  min=32
Loading P1E_S2_C2
  Y: (576, 1042)  people=25  frames/person=[33, 48, 38, 41, 53, 36, 39, 47, 51, 36, 55, 44, 43, 25, 42, 41, 37, 45, 41, 38, 40, 54, 49, 33, 33]  min=25
  warning: 1 people have fewer than 30 available frames (kept all)
Loading P1E_S2_C3
  Y: (576, 816)  people=25  frames/person=[36, 33, 28, 32, 42, 37, 31, 36, 31, 23, 42, 36, 35, 20, 33, 33, 32, 32, 32, 29, 32, 42, 38, 27, 24]  min=20
  warning: 6 people have fewer than 30 available frames (kept all)
Loading P1E_S3_C1
  Y: (576, 1255)  people=25  frames/person=[43, 39, 47, 52, 58, 96, 42, 31, 79, 33, 67, 55, 44, 34, 40, 48, 54, 77, 45, 41, 46, 53, 56, 38, 37]  min=31
Loading P1E_S3_C2
  Y: (576, 1126)  people=25  frames/person=[57, 56, 35, 40, 49, 75, 34, 40, 70, 26, 65, 54, 43, 28, 32, 43, 48, 31, 36, 33, 42, 71, 57, 30, 31]  min=26
  warning: 2 people have fewer than 30 available frames (kept all)
Loading P1E_S3_C3
  Y: (576, 866)  people=25  frames/person=[43, 36, 24, 33, 37, 47, 29, 37, 55, 18, 40, 40, 31, 22, 30, 39, 35, 45, 30, 28, 30, 50, 42, 20, 25]  min=18
  warning: 7 people have fewer than 30 available frames (kept all)
Loading P1E_S4_C1
  Y: (576, 1247)  people=25  frames/person=[58, 54, 34, 56, 50, 59, 50, 56, 74, 38, 75, 35, 46, 31, 53, 40, 57, 32, 56, 33, 48, 67, 59, 48, 38]  min=31
Loading P1E_S4_C2
  Y: (576, 1051)  people=25  frames/person=[37, 37, 41, 46, 41, 49, 38, 45, 65, 30, 39, 48, 50, 34, 43, 36, 47, 52, 45, 37, 38, 50, 30, 37, 36]  min=30
Loading P1E_S4_C3
  Y: (576, 719)  people=25  frames/person=[28, 29, 22, 29, 24, 36, 31, 29, 33, 25, 37, 19, 28, 21, 25, 27, 25, 41, 27, 29, 26, 31, 45, 29, 23]  min=19
  warning: 18 people have fewer than 30 available frames (kept all)
Loading P1L_S1_C1
  Y: (576, 1391)  people=25  frames/person=[65, 68, 43, 64, 47, 40, 58, 33, 75, 41, 58, 72, 58, 49, 66, 67, 65, 43, 59, 57, 58, 51, 67, 32, 55]  min=32
Loading P1L_S1_C2
  Y: (576, 1309)  people=25  frames/person=[30, 65, 37, 63, 66, 54, 52, 52, 43, 49, 71, 49, 58, 48, 54, 66, 56, 36, 48, 49, 55, 66, 52, 39, 51]  min=30
Loading P1L_S1_C3
  Y: (576, 565)  people=25  frames/person=[27, 29, 20, 26, 19, 25, 22, 12, 28, 25, 20, 25, 23, 18, 21, 23, 25, 26, 23, 21, 18, 18, 30, 18, 23]  min=12
  warning: 24 people have fewer than 30 available frames (kept all)
Loading P1L_S2_C1
  Y: (576, 1470)  people=25  frames/person=[73, 68, 53, 64, 65, 41, 73, 55, 37, 31, 82, 75, 63, 45, 34, 48, 74, 84, 71, 64, 62, 65, 48, 33, 62]  min=31
Loading P1L_S2_C2
  Y: (576, 1393)  people=25  frames/person=[64, 65, 49, 62, 69, 69, 63, 61, 80, 34, 89, 57, 53, 52, 55, 38, 30, 30, 66, 36, 57, 51, 73, 41, 49]  min=30
Loading P1L_S2_C3
  Y: (576, 897)  people=25  frames/person=[40, 36, 29, 28, 35, 37, 36, 36, 50, 28, 55, 46, 34, 31, 35, 32, 30, 48, 37, 29, 36, 39, 45, 19, 26]  min=19
  warning: 6 people have fewer than 30 available frames (kept all)
Loading P1L_S3_C1
  Y: (576, 1329)  people=25  frames/person=[31, 33, 30, 51, 74, 75, 59, 65, 66, 43, 47, 39, 65, 50, 58, 71, 67, 36, 57, 35, 62, 31, 74, 59, 51]  min=30
Loading P1L_S3_C2
  Y: (576, 1472)  people=25  frames/person=[78, 38, 48, 51, 54, 71, 61, 71, 32, 50, 75, 38, 72, 63, 48, 67, 49, 87, 52, 56, 58, 85, 73, 56, 39]  min=32
Loading P1L_S3_C3
  Y: (576, 1105)  people=25  frames/person=[48, 44, 38, 38, 39, 45, 35, 55, 52, 26, 81, 39, 36, 36, 44, 54, 42, 61, 38, 31, 34, 53, 51, 44, 41]  min=26
  warning: 1 people have fewer than 30 available frames (kept all)
Loading P1L_S4_C1
  Y: (576, 1443)  people=25  frames/person=[50, 69, 44, 41, 78, 43, 32, 71, 45, 65, 59, 39, 56, 57, 68, 69, 70, 73, 51, 63, 47, 70, 57, 52, 74]  min=32
Loading P1L_S4_C2
  Y: (576, 1327)  people=25  frames/person=[71, 34, 39, 54, 63, 67, 52, 39, 52, 56, 59, 50, 51, 53, 63, 50, 71, 63, 48, 35, 31, 71, 43, 52, 60]  min=31
Loading P1L_S4_C3
  Y: (576, 880)  people=25  frames/person=[37, 41, 23, 26, 32, 34, 22, 32, 50, 29, 38, 44, 31, 34, 37, 39, 39, 39, 38, 26, 25, 50, 41, 33, 40]  min=22
  warning: 6 people have fewer than 30 available frames (kept all)
sequences=24  people=25  k=5
frames/person ~ Unif[30, 100]
down_hw=24  sigmas=(0.0,)  n_trials=50  known_k=True  csv=split_k5_clean_min30_trials50_knownk_scaled_bsearchk5.csv
SSC-Block-TV block_size searched in [2, 12]
train 0 k=5  people=['0006', '0013', '0014', '0022', '0027']
train 1 k=5  people=['0004', '0009', '0019', '0025', '0026']
train 2 k=5  people=['0001', '0005', '0011', '0023', '0024']
train 3 k=5  people=['0007', '0010', '0015', '0016', '0021']
test    k=5  people=['0003', '0012', '0017', '0018', '0020']
methods=['SSC-Block-TV', 'OSC', 'TKSS', 'BDOSC', 'Gram-NCut']  append=False  hetero_noise=False  no_tune=False
σ=0.0: train mats=96  test mats=24
pooled train mats for tuning=96

============================================================
BDOSC: skip tuning, fixed lambda_1=0.2, lambda_2=1, gamma_1=0.01, p=1.1, max_iter=50
  wrote /nfs/turbo/umms-minjilab/lpullela/icassp_ssc_tv2/surveillance_dataset/split_k5_clean_min30_trials50_knownk_scaled_params_bsearchk5.json

============================================================
Gram-NCut: skip tuning, fixed 
  wrote /nfs/turbo/umms-minjilab/lpullela/icassp_ssc_tv2/surveillance_dataset/split_k5_clean_min30_trials50_knownk_scaled_params_bsearchk5.json

============================================================
--- tune SSC-Block-TV over 96 train mats  n_trials=100 (4 params) ---
  SSC-Block-TV trial 0: mean ARI=0.5994  n=96  34.8s  lambda_e=1, lambda_z=0.1, gamma_q=0.1, block_size=5
  SSC-Block-TV trial 1: mean ARI=0.6406  n=96  32.0s  lambda_e=0.443, lambda_z=0.7257, gamma_q=0.2577, block_size=7
  SSC-Block-TV trial 2: mean ARI=0.7074  n=96  31.5s  lambda_e=0.1866, lambda_z=0.3833, gamma_q=0.05628, block_size=11
  SSC-Block-TV trial 3: mean ARI=0.4459  n=96  32.3s  lambda_e=7.78, lambda_z=0.03418, gamma_q=1.469, block_size=7
  SSC-Block-TV trial 4: mean ARI=0.6186  n=96  43.8s  lambda_e=0.506, lambda_z=5.039, gamma_q=0.001924, block_size=2
  SSC-Block-TV trial 5: mean ARI=0.4441  n=96  30.8s  lambda_e=0.0115, lambda_z=2.14, gamma_q=1.296, block_size=11
  SSC-Block-TV trial 6: mean ARI=0.6907  n=96  31.1s  lambda_e=8.627, lambda_z=1.573, gamma_q=0.07013, block_size=10
  SSC-Block-TV trial 7: mean ARI=0.7606  n=96  30.5s  lambda_e=0.02264, lambda_z=0.3628, gamma_q=0.003745, block_size=12
  SSC-Block-TV trial 8: mean ARI=0.7270  n=96  31.2s  lambda_e=0.3677, lambda_z=0.04557, gamma_q=0.01143, block_size=10
  SSC-Block-TV trial 9: mean ARI=0.7535  n=96  32.6s  lambda_e=0.2336, lambda_z=0.1878, gamma_q=0.001189, block_size=8
  SSC-Block-TV trial 10: mean ARI=0.5129  n=96  44.1s  lambda_e=0.01151, lambda_z=0.001661, gamma_q=6.473, block_size=2
  SSC-Block-TV trial 11: mean ARI=0.7614  n=96  33.1s  lambda_e=0.05789, lambda_z=0.1589, gamma_q=0.001276, block_size=8
  SSC-Block-TV trial 12: mean ARI=0.6442  n=96  30.6s  lambda_e=0.03705, lambda_z=0.00525, gamma_q=0.006143, block_size=12
  SSC-Block-TV trial 13: mean ARI=0.7248  n=96  34.4s  lambda_e=0.04693, lambda_z=0.01302, gamma_q=0.007133, block_size=5
  SSC-Block-TV trial 14: mean ARI=0.7659  n=96  32.5s  lambda_e=0.05946, lambda_z=0.1905, gamma_q=0.003034, block_size=9
  SSC-Block-TV trial 15: mean ARI=0.7486  n=96  32.9s  lambda_e=0.09713, lambda_z=0.0804, gamma_q=0.001055, block_size=8
  SSC-Block-TV trial 16: mean ARI=0.6340  n=96  32.3s  lambda_e=0.07095, lambda_z=0.01828, gamma_q=0.02026, block_size=9
  SSC-Block-TV trial 17: mean ARI=0.5910  n=96  34.9s  lambda_e=2.27, lambda_z=9.545, gamma_q=0.02047, block_size=5
  SSC-Block-TV trial 18: mean ARI=0.7601  n=96  33.9s  lambda_e=0.1091, lambda_z=0.2212, gamma_q=0.003348, block_size=6
  SSC-Block-TV trial 19: mean ARI=0.7665  n=96  32.7s  lambda_e=0.02428, lambda_z=0.801, gamma_q=0.00246, block_size=9
  SSC-Block-TV trial 20: mean ARI=0.7019  n=96  32.7s  lambda_e=0.02309, lambda_z=1.119, gamma_q=0.02475, block_size=9
  SSC-Block-TV trial 21: mean ARI=0.7639  n=96  32.4s  lambda_e=0.02894, lambda_z=0.6432, gamma_q=0.002492, block_size=9
  SSC-Block-TV trial 22: mean ARI=0.7585  n=96  31.7s  lambda_e=0.0231, lambda_z=0.6439, gamma_q=0.003255, block_size=10
  SSC-Block-TV trial 23: mean ARI=0.7611  n=96  32.5s  lambda_e=0.02564, lambda_z=2.868, gamma_q=0.008767, block_size=9
  SSC-Block-TV trial 24: mean ARI=0.7292  n=96  32.4s  lambda_e=0.1311, lambda_z=0.5749, gamma_q=0.002675, block_size=7
  SSC-Block-TV trial 25: mean ARI=0.7447  n=96  31.4s  lambda_e=0.01025, lambda_z=4.022, gamma_q=0.005175, block_size=11
  SSC-Block-TV trial 26: mean ARI=0.7582  n=96  32.4s  lambda_e=0.03682, lambda_z=1.069, gamma_q=0.01122, block_size=9
  SSC-Block-TV trial 27: mean ARI=0.7616  n=96  32.0s  lambda_e=0.01673, lambda_z=0.3412, gamma_q=0.002508, block_size=10
  SSC-Block-TV trial 28: mean ARI=0.7042  n=96  32.9s  lambda_e=0.08044, lambda_z=0.08215, gamma_q=0.03374, block_size=8
  SSC-Block-TV trial 29: mean ARI=0.4747  n=96  33.6s  lambda_e=0.04783, lambda_z=0.1133, gamma_q=0.1597, block_size=6
  SSC-Block-TV trial 30: mean ARI=0.7149  n=96  32.1s  lambda_e=0.1674, lambda_z=1.266, gamma_q=0.001811, block_size=9
  SSC-Block-TV trial 31: mean ARI=0.7695  n=96  31.1s  lambda_e=0.01795, lambda_z=0.2183, gamma_q=0.002162, block_size=10
  SSC-Block-TV trial 32: mean ARI=0.7581  n=96  30.8s  lambda_e=0.01626, lambda_z=0.3083, gamma_q=0.004996, block_size=11
  SSC-Block-TV trial 33: mean ARI=0.7641  n=96  31.5s  lambda_e=0.03314, lambda_z=0.6335, gamma_q=0.001697, block_size=10
  SSC-Block-TV trial 34: mean ARI=0.7685  n=96  31.6s  lambda_e=0.01676, lambda_z=0.05275, gamma_q=0.001664, block_size=10
  SSC-Block-TV trial 35: mean ARI=0.6806  n=96  31.7s  lambda_e=0.0164, lambda_z=0.03651, gamma_q=0.01395, block_size=11
  SSC-Block-TV trial 36: mean ARI=0.7625  n=96  31.1s  lambda_e=0.01525, lambda_z=0.02282, gamma_q=0.001124, block_size=12
  SSC-Block-TV trial 37: mean ARI=0.7616  n=96  33.3s  lambda_e=1.656, lambda_z=0.05774, gamma_q=0.004588, block_size=8
  SSC-Block-TV trial 38: mean ARI=0.4446  n=96  31.9s  lambda_e=0.05676, lambda_z=0.007316, gamma_q=0.4867, block_size=10
  SSC-Block-TV trial 39: mean ARI=0.7535  n=96  31.7s  lambda_e=0.2594, lambda_z=0.1454, gamma_q=0.001746, block_size=11
  SSC-Block-TV trial 40: mean ARI=0.7540  n=96  31.9s  lambda_e=5.032, lambda_z=0.2471, gamma_q=0.008277, block_size=10
  SSC-Block-TV trial 41: mean ARI=0.7618  n=96  31.9s  lambda_e=0.03741, lambda_z=0.3872, gamma_q=0.001948, block_size=10
  SSC-Block-TV trial 42: mean ARI=0.7576  n=96  31.7s  lambda_e=0.02738, lambda_z=1.879, gamma_q=0.001647, block_size=11
  SSC-Block-TV trial 43: mean ARI=0.7696  n=96  32.1s  lambda_e=0.01333, lambda_z=0.4838, gamma_q=0.003865, block_size=9
  SSC-Block-TV trial 44: mean ARI=0.7592  n=96  32.2s  lambda_e=0.01369, lambda_z=0.06254, gamma_q=0.004356, block_size=9
  SSC-Block-TV trial 45: mean ARI=0.7720  n=96  32.3s  lambda_e=0.01973, lambda_z=0.1142, gamma_q=0.001015, block_size=8
  SSC-Block-TV trial 46: mean ARI=0.7653  n=96  32.2s  lambda_e=0.01869, lambda_z=0.4566, gamma_q=0.001041, block_size=7
  SSC-Block-TV trial 47: mean ARI=0.7461  n=96  32.3s  lambda_e=0.01021, lambda_z=0.1146, gamma_q=0.00693, block_size=8
  SSC-Block-TV trial 48: mean ARI=0.4319  n=96  32.1s  lambda_e=0.02124, lambda_z=0.02926, gamma_q=5.986, block_size=7
  SSC-Block-TV trial 49: mean ARI=0.7838  n=96  38.9s  lambda_e=0.01174, lambda_z=0.05197, gamma_q=0.002396, block_size=3
  SSC-Block-TV trial 50: mean ARI=0.7555  n=96  44.5s  lambda_e=0.01296, lambda_z=0.009083, gamma_q=0.001435, block_size=2
  SSC-Block-TV trial 51: mean ARI=0.7774  n=96  38.7s  lambda_e=0.01001, lambda_z=0.04734, gamma_q=0.002355, block_size=3
